epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.1704,1.41744,0.71099,0.98246,0.76953,0.000254449,0.000254449,0.000254449
2,19.9158,0.63559,0.88827,0.99446,0.37131,0.000409647,0.000409647,0.000409647
3,28.2631,0.45695,0.91228,0.99723,0.31616,0.000463338,0.000463338,0.000463338
4,35.6984,0.35972,0.91967,0.99723,0.2687,0.000312214,0.000312214,0.000312214
5,43.6429,0.29647,0.93721,0.99723,0.21262,0.000159952,0.000159952,0.000159952
