epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
78,1186.94,0.02314,0.98153,1,0.09248,0.002377,0.002377,0.002377
79,1203.72,0.02781,0.9843,1,0.08833,0.002278,0.002278,0.002278
80,1215.5,0.02611,0.9843,1,0.08879,0.002179,0.002179,0.002179
81,1230.08,0.02246,0.9843,1,0.09121,0.00208,0.00208,0.00208
82,1243.72,0.02009,0.98523,0.99908,0.09177,0.001981,0.001981,0.001981
83,1260.6,0.02127,0.98338,1,0.0946,0.001882,0.001882,0.001882
84,1276.5,0.02148,0.98246,0.99908,0.09467,0.001783,0.001783,0.001783
85,1292.46,0.0215,0.98246,0.99908,0.09596,0.001684,0.001684,0.001684
86,1309.85,0.02213,0.98153,0.99908,0.09502,0.001585,0.001585,0.001585
87,1326.96,0.02088,0.98246,0.99908,0.09548,0.001486,0.001486,0.001486
88,1343.07,0.0207,0.98153,0.99908,0.09593,0.001387,0.001387,0.001387
89,1358.11,0.01823,0.98246,0.99908,0.09564,0.001288,0.001288,0.001288
90,1373.58,0.02021,0.98246,0.99908,0.09526,0.001189,0.001189,0.001189
91,1388.95,0.01935,0.98246,0.99908,0.09385,0.00109,0.00109,0.00109
92,1401.83,0.01741,0.98338,0.99908,0.09287,0.000991,0.000991,0.000991
93,1417.14,0.0189,0.98246,0.99908,0.0933,0.000892,0.000892,0.000892
94,1434.09,0.01888,0.98246,0.99908,0.0944,0.000793,0.000793,0.000793
95,1451.25,0.01673,0.98338,0.99908,0.09506,0.000694,0.000694,0.000694
96,1467.11,0.01672,0.98338,0.99908,0.09544,0.000595,0.000595,0.000595
97,1482.2,0.01748,0.98338,0.99908,0.09562,0.000496,0.000496,0.000496
98,1497.77,0.01916,0.98338,0.99908,0.09591,0.000397,0.000397,0.000397
99,1514.02,0.01685,0.98338,0.99908,0.0965,0.000298,0.000298,0.000298
100,1529.49,0.01627,0.98338,0.99908,0.09614,0.000199,0.000199,0.000199
