epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,1315.5,0.03899,0.988,0.99723,0.06696,0.002575,0.002575,0.002575
77,1332.76,0.03179,0.98615,0.99815,0.06812,0.002476,0.002476,0.002476
78,1350.09,0.03133,0.98523,0.99815,0.06902,0.002377,0.002377,0.002377
79,1367.85,0.03424,0.98615,0.99815,0.06751,0.002278,0.002278,0.002278
80,1385.1,0.03479,0.98707,0.99908,0.0702,0.002179,0.002179,0.002179
81,1403.19,0.03124,0.988,0.99815,0.0744,0.00208,0.00208,0.00208
82,1421.2,0.03467,0.98707,0.99815,0.07627,0.001981,0.001981,0.001981
83,1438.61,0.0328,0.98707,0.99815,0.07898,0.001882,0.001882,0.001882
84,1455.94,0.02963,0.98707,0.99815,0.0769,0.001783,0.001783,0.001783
85,1473.53,0.02885,0.988,0.99908,0.07723,0.001684,0.001684,0.001684
86,1490.71,0.02536,0.988,0.99815,0.07589,0.001585,0.001585,0.001585
87,1507.87,0.02474,0.988,0.99815,0.0768,0.001486,0.001486,0.001486
88,1525.16,0.02891,0.98892,0.99815,0.07636,0.001387,0.001387,0.001387
89,1542.37,0.02366,0.98892,0.99815,0.0755,0.001288,0.001288,0.001288
90,1559.04,0.02442,0.988,0.99815,0.07479,0.001189,0.001189,0.001189
91,1577.71,0.02394,0.988,0.99815,0.07442,0.00109,0.00109,0.00109
92,1594.6,0.02313,0.988,0.99815,0.0743,0.000991,0.000991,0.000991
93,1611.19,0.02423,0.988,0.99815,0.07449,0.000892,0.000892,0.000892
94,1628.29,0.02673,0.988,0.99815,0.07508,0.000793,0.000793,0.000793
95,1645.19,0.02251,0.98892,0.99815,0.07416,0.000694,0.000694,0.000694
96,1662.43,0.02173,0.98892,0.99815,0.07428,0.000595,0.000595,0.000595
97,1679.54,0.02196,0.98892,0.99815,0.0741,0.000496,0.000496,0.000496
98,1697.06,0.02111,0.988,0.99815,0.07343,0.000397,0.000397,0.000397
99,1714.5,0.0211,0.988,0.99815,0.07341,0.000298,0.000298,0.000298
100,1731.53,0.02088,0.988,0.99815,0.07233,0.000199,0.000199,0.000199
